El(ft),Storage(acre-feet),Area(acres)
262,11257,515
262.1,11309,516
262.2,11361,518
262.3,11412,519
262.4,11464,521
262.5,11517,522
262.6,11569,524
262.7,11621,525
262.8,11674,527
262.9,11727,528
263,11780,530
263.1,11833,531
263.2,11886,533
263.3,11939,534
263.4,11993,536
263.5,12046,537
263.6,12100,539
263.7,12154,540
263.8,12208,542
263.9,12263,543
264,12317,545
264.1,12371,546
264.2,12426,548
264.3,12481,549
264.4,12536,551
264.5,12591,552
264.6,12646,554
264.7,12702,555
264.8,12758,557
264.9,12813,558
265,12869,560
265.1,12925,561
265.2,12981,563
265.3,13038,564
265.4,13094,565
265.5,13151,567
265.6,13208,568
265.7,13264,570
265.8,13321,571
265.9,13379,572
266,13436,574
266.1,13493,575
266.2,13551,577
266.3,13609,578
266.4,13667,579
266.5,13725,581
266.6,13783,582
266.7,13841,584
266.8,13900,585
266.9,13958,587
267,14017,588
267.1,14076,589
267.2,14135,591
267.3,14194,592
267.4,14253,594
267.5,14313,595
267.6,14372,596
267.7,14432,598
267.8,14492,599
267.9,14552,601
268,14612,602
268.1,14672,604
268.2,14733,605
268.3,14793,606
268.4,14854,608
268.5,14915,609
268.6,14976,611
268.7,15037,612
268.8,15098,613
268.9,15159,615
269,15221,616
269.1,15283,618
269.2,15345,619
269.3,15407,621
269.4,15469,622
269.5,15531,623
269.6,15593,625
269.7,15656,626
269.8,15719,628
269.9,15781,629
270,15844,630
270.1,15907,632
270.2,15971,633
270.3,16034,635
270.4,16098,636
270.5,16161,638
270.6,16225,639
270.7,16289,640
270.8,16353,642
270.9,16418,643
271,16482,645
271.1,16546,646
271.2,16611,648
271.3,16676,650
271.4,16741,651
271.5,16806,653
271.6,16872,654
271.7,16937,656
271.8,17003,658
271.9,17069,659
272,17135,661
272.1,17201,663
272.2,17267,664
272.3,17334,666
272.4,17400,668
272.5,17467,669
272.6,17534,671
272.7,17601,673
272.8,17669,674
272.9,17736,676
273,17804,677
273.1,17872,679
273.2,17940,681
273.3,18008,682
273.4,18076,684
273.5,18145,686
273.6,18213,687
273.7,18282,689
273.8,18351,691
273.9,18420,692
274,18490,694
274.1,18559,695
274.2,18629,697
274.3,18699,699
274.4,18768,700
274.5,18839,702
274.6,18909,703
274.7,18979,705
274.8,19050,707
274.9,19121,708
275,19191,710
275.1,19263,711
275.2,19334,713
275.3,19405,714
275.4,19477,716
275.5,19548,718
275.6,19620,719
275.7,19692,721
275.8,19764,722
275.9,19837,724
276,19909,726
276.1,19982,727
276.2,20055,729
276.3,20128,730
276.4,20201,732
276.5,20274,733
276.6,20347,735
276.7,20421,737
276.8,20495,738
276.9,20569,740
277,20643,741
277.1,20717,743
277.2,20791,744
277.3,20866,746
277.4,20940,747
277.5,21015,749
277.6,21090,750
277.7,21165,752
277.8,21240,753
277.9,21316,754
278,21391,756
278.1,21467,757
278.2,21543,759
278.3,21619,760
278.4,21695,762
278.5,21771,763
278.6,21847,765
278.7,21924,766
278.8,22001,767
278.9,22077,769
279,22154,770
279.1,22231,772
279.2,22309,773
279.3,22386,775
279.4,22464,776
279.5,22541,778
279.6,22619,779
279.7,22697,780
279.8,22775,782
279.9,22853,783
280,22932,785
280.1,23010,786
280.2,23089,788
280.3,23168,789
280.4,23247,791
280.5,23326,793
280.6,23406,794
280.7,23485,796
280.8,23565,797
280.9,23644,799
281,23724,800
281.1,23805,802
281.2,23885,803
281.3,23965,805
281.4,24046,806
281.5,24127,808
281.6,24207,810
281.7,24288,811
281.8,24370,813
281.9,24451,814
282,24533,816
282.1,24614,817
282.2,24696,819
282.3,24778,820
282.4,24860,822
282.5,24942,824
282.6,25025,825
282.7,25107,827
282.8,25190,828
282.9,25273,830
283,25356,831
283.1,25439,833
283.2,25523,835
283.3,25606,836
283.4,25690,838
283.5,25774,839
283.6,25858,841
283.7,25942,843
283.8,26026,844
283.9,26111,846
284,26196,848
284.1,26280,849
284.2,26365,851
284.3,26451,853
284.4,26536,854
284.5,26621,856
284.6,26707,857
284.7,26793,859
284.8,26879,861
284.9,26965,862
285,27051,864
285.1,27138,866
285.2,27225,867
285.3,27311,869
285.4,27398,871
285.5,27485,872
285.6,27573,874
285.7,27660,875
285.8,27748,877
285.9,27836,879
286,27924,880
286.1,28012,882
286.2,28100,884
286.3,28189,886
286.4,28277,887
286.5,28366,889
286.6,28455,891
286.7,28544,893
286.8,28633,894
286.9,28723,896
287,28813,898
287.1,28903,900
287.2,28993,901
287.3,29083,903
287.4,29173,905
287.5,29264,906
287.6,29354,908
287.7,29445,910
287.8,29536,912
287.9,29628,913
288,29719,915
288.1,29811,917
288.2,29903,919
288.3,29994,920
288.4,30087,922
288.5,30179,924
288.6,30271,926
288.7,30364,927
288.8,30457,929
288.9,30550,931
289,30643,932
289.1,30736,934
289.2,30830,936
289.3,30924,938
289.4,31018,940
289.5,31112,942
289.6,31206,944
289.7,31301,946
289.8,31395,948
289.9,31490,950
290,31585,952
